,measure,sex,age,cause,year,val.Number,val.Percent
94274,Prevalence,Male,Early Neonatal,Acute hepatitis C,2017,0.5877341151,0.0002693422
94275,Prevalence,Female,Early Neonatal,Acute hepatitis C,2017,0.4826682332,0.0001895581
94276,Prevalence,Both,Early Neonatal,Acute hepatitis C,2017,1.0704023483,0.0002256016
94280,Prevalence,Male,Late Neonatal,Acute hepatitis C,2017,1.7493738433,0.0002514601
94281,Prevalence,Female,Late Neonatal,Acute hepatitis C,2017,1.4368427311,0.0001846235
94282,Prevalence,Both,Late Neonatal,Acute hepatitis C,2017,3.1862165744,0.0002159762
94286,Prevalence,Male,Post Neonatal,Acute hepatitis C,2017,25.614290305,0.0001986616
94287,Prevalence,Female,Post Neonatal,Acute hepatitis C,2017,21.0185777982,0.0001486124
94288,Prevalence,Both,Post Neonatal,Acute hepatitis C,2017,46.6328681032,0.0001723898
94292,Prevalence,Male,1 to 4,Acute hepatitis C,2017,78.3452028263,8.37051763221e-05
94293,Prevalence,Female,1 to 4,Acute hepatitis C,2017,64.6031525965,6.51065006801e-05
94294,Prevalence,Both,1 to 4,Acute hepatitis C,2017,142.948355423,7.41259370508e-05
94298,Prevalence,Male,5 to 9,Acute hepatitis C,2017,55.0541425564,3.37538772486e-05
94299,Prevalence,Female,5 to 9,Acute hepatitis C,2017,45.7285889063,2.80864275682e-05
94300,Prevalence,Both,5 to 9,Acute hepatitis C,2017,100.782731463,3.09204102755e-05
94304,Prevalence,Male,10 to 14,Acute hepatitis C,2017,39.092889442,2.26289830042e-05
94305,Prevalence,Female,10 to 14,Acute hepatitis C,2017,31.88340306,1.84464513641e-05
94306,Prevalence,Both,10 to 14,Acute hepatitis C,2017,70.976292502,2.05364279075e-05
94310,Prevalence,Male,15 to 19,Acute hepatitis C,2017,33.3723028757,1.79439843894e-05
94311,Prevalence,Female,15 to 19,Acute hepatitis C,2017,25.7895426087,1.38598722683e-05
94312,Prevalence,Both,15 to 19,Acute hepatitis C,2017,59.1618454843,1.59011907064e-05
94316,Prevalence,Male,20 to 24,Acute hepatitis C,2017,31.3079609737,1.77177166745e-05
94317,Prevalence,Female,20 to 24,Acute hepatitis C,2017,24.0911967147,1.33326564487e-05
94318,Prevalence,Both,20 to 24,Acute hepatitis C,2017,55.3991576884,1.55003156005e-05
94322,Prevalence,Male,25 to 29,Acute hepatitis C,2017,37.5125447669,2.06166223471e-05
94323,Prevalence,Female,25 to 29,Acute hepatitis C,2017,30.313315862,1.58867316578e-05
94324,Prevalence,Both,25 to 29,Acute hepatitis C,2017,67.825860629,1.81952372079e-05
94328,Prevalence,Male,30 to 34,Acute hepatitis C,2017,43.9389765325,2.31202104359e-05
94329,Prevalence,Female,30 to 34,Acute hepatitis C,2017,36.5226375321,1.81298282165e-05
94330,Prevalence,Both,30 to 34,Acute hepatitis C,2017,80.4616140646,2.05521308117e-05
94334,Prevalence,Male,35 to 39,Acute hepatitis C,2017,49.2733615852,2.51088516735e-05
94335,Prevalence,Female,35 to 39,Acute hepatitis C,2017,41.0690237974,2.00110964557e-05
94336,Prevalence,Both,35 to 39,Acute hepatitis C,2017,90.3423853826,2.25028021273e-05
94340,Prevalence,Male,40 to 44,Acute hepatitis C,2017,61.2661434631,2.97332070664e-05
94341,Prevalence,Female,40 to 44,Acute hepatitis C,2017,52.6190794792,2.48417455615e-05
94342,Prevalence,Both,40 to 44,Acute hepatitis C,2017,113.885222942,2.7253708235e-05
94346,Prevalence,Male,45 to 49,Acute hepatitis C,2017,79.5032112731,3.69034697912e-05
94347,Prevalence,Female,45 to 49,Acute hepatitis C,2017,72.4343516129,3.25910155625e-05
94348,Prevalence,Both,45 to 49,Acute hepatitis C,2017,151.937562886,3.47135284524e-05
94352,Prevalence,Male,50 to 54,Acute hepatitis C,2017,87.36202764,4.10799098717e-05
94353,Prevalence,Female,50 to 54,Acute hepatitis C,2017,80.6341872334,3.64145223126e-05
94354,Prevalence,Both,50 to 54,Acute hepatitis C,2017,167.996214873,3.86999689281e-05
94358,Prevalence,Male,55 to 59,Acute hepatitis C,2017,85.374807646,4.24408045099e-05
94359,Prevalence,Female,55 to 59,Acute hepatitis C,2017,77.2106477236,3.62538378905e-05
94360,Prevalence,Both,55 to 59,Acute hepatitis C,2017,162.58545537,3.92589616474e-05
94364,Prevalence,Male,60 to 64,Acute hepatitis C,2017,75.8474837799,4.00964619466e-05
94365,Prevalence,Female,60 to 64,Acute hepatitis C,2017,72.2830169674,3.50770715046e-05
94366,Prevalence,Both,60 to 64,Acute hepatitis C,2017,148.130500747,3.74793428278e-05
94370,Prevalence,Male,65 to 69,Acute hepatitis C,2017,61.4968212254,3.40488329439e-05
94371,Prevalence,Female,65 to 69,Acute hepatitis C,2017,66.1074532272,3.29372817967e-05
94372,Prevalence,Both,65 to 69,Acute hepatitis C,2017,127.604274453,3.34637705282e-05
94376,Prevalence,Male,70 to 74,Acute hepatitis C,2017,36.6152651846,2.84885953829e-05
94377,Prevalence,Female,70 to 74,Acute hepatitis C,2017,45.8801248983,3.10026418016e-05
94378,Prevalence,Both,70 to 74,Acute hepatitis C,2017,82.4953900829,2.9834073664e-05
94382,Prevalence,Male,75 to 79,Acute hepatitis C,2017,22.1272218749,2.33968511497e-05
94383,Prevalence,Female,75 to 79,Acute hepatitis C,2017,35.1100549382,2.92805785056e-05
94384,Prevalence,Both,75 to 79,Acute hepatitis C,2017,57.2372768131,2.66862196873e-05
94388,Prevalence,Male,80 plus,Acute hepatitis C,2017,37.7904795513,2.69735498915e-05
94389,Prevalence,Female,80 plus,Acute hepatitis C,2017,107.630578245,4.23874873724e-05
94390,Prevalence,Both,80 plus,Acute hepatitis C,2017,145.421057796,3.69067860981e-05
94394,Prevalence,Male,All Ages,Acute hepatitis C,2017,943.23224146,3.20501833559e-05
94395,Prevalence,Female,All Ages,Acute hepatitis C,2017,932.848444165,2.90455025273e-05
94396,Prevalence,Both,All Ages,Acute hepatitis C,2017,1876.08068563,3.04822247651e-05
94400,Prevalence,Male,5-14 years,Acute hepatitis C,2017,94.1470319984,2.80230329372e-05
94401,Prevalence,Female,5-14 years,Acute hepatitis C,2017,77.6119919663,2.3117583363e-05
94402,Prevalence,Both,5-14 years,Acute hepatitis C,2017,171.759023965,2.55704612764e-05
94406,Prevalence,Male,15-49 years,Acute hepatitis C,2017,336.17450147,2.48570162399e-05
94407,Prevalence,Female,15-49 years,Acute hepatitis C,2017,282.839147607,2.02274017356e-05
94408,Prevalence,Both,15-49 years,Acute hepatitis C,2017,619.013649077,2.25034839514e-05
94412,Prevalence,Male,50-69 years,Acute hepatitis C,2017,310.081140291,3.95712095433e-05
94413,Prevalence,Female,50-69 years,Acute hepatitis C,2017,296.235305152,3.52165161682e-05
94414,Prevalence,Both,50-69 years,Acute hepatitis C,2017,606.316445443,3.73166541689e-05
94418,Prevalence,Male,70+ years,Acute hepatitis C,2017,96.5329666108,2.65783650654e-05
94419,Prevalence,Female,70+ years,Acute hepatitis C,2017,188.620758081,3.6146937797e-05
94420,Prevalence,Both,70+ years,Acute hepatitis C,2017,285.153724692,3.22201056141e-05
94424,Prevalence,Male,Age-standardized,Acute hepatitis C,2017,NA,3.22721312817e-05
94425,Prevalence,Female,Age-standardized,Acute hepatitis C,2017,NA,2.73941956337e-05
94426,Prevalence,Both,Age-standardized,Acute hepatitis C,2017,NA,2.98565313585e-05
94427,Prevalence,Male,<1 year,Acute hepatitis C,2017,27.9513982634,0.0002024127
94428,Prevalence,Female,<1 year,Acute hepatitis C,2017,22.9380887625,0.000151129
94429,Prevalence,Both,<1 year,Acute hepatitis C,2017,50.8894870259,0.0001754654
94433,Prevalence,Male,80 to 84,Acute hepatitis C,2017,17.5771586367,2.35498309334e-05
94434,Prevalence,Female,80 to 84,Acute hepatitis C,2017,37.6765800088,3.36895968033e-05
94435,Prevalence,Both,80 to 84,Acute hepatitis C,2017,55.2537386455,2.9631021917e-05
94439,Prevalence,Male,85 to 89,Acute hepatitis C,2017,13.0363987237,2.89424102602e-05
94440,Prevalence,Female,85 to 89,Acute hepatitis C,2017,37.6899928764,4.41954755585e-05
94441,Prevalence,Both,85 to 89,Acute hepatitis C,2017,50.7263916001,3.89236700364e-05
94445,Prevalence,Male,90 to 94,Acute hepatitis C,2017,5.9764326226,3.43448056374e-05
94446,Prevalence,Female,90 to 94,Acute hepatitis C,2017,24.6363046059,5.46522307583e-05
94447,Prevalence,Both,90 to 94,Acute hepatitis C,2017,30.6127372285,4.89964081704e-05
94451,Prevalence,Male,<20 years,Acute hepatitis C,2017,233.815935964,3.71366712846e-05
94452,Prevalence,Female,<20 years,Acute hepatitis C,2017,190.942775934,3.00058392321e-05
94453,Prevalence,Both,<20 years,Acute hepatitis C,2017,424.758711898,3.35517042708e-05
94457,Prevalence,Male,10 to 24,Acute hepatitis C,2017,103.773153291,1.93775062676e-05
94458,Prevalence,Female,10 to 24,Acute hepatitis C,2017,81.7641423833,1.51508120178e-05
94459,Prevalence,Both,10 to 24,Acute hepatitis C,2017,185.537295675,1.72559340817e-05
94463,Prevalence,Male,95 plus,Acute hepatitis C,2017,1.2004895684,3.97509258455e-05
94464,Prevalence,Female,95 plus,Acute hepatitis C,2017,7.6277007537,6.50388265147e-05
94465,Prevalence,Both,95 plus,Acute hepatitis C,2017,8.8281903221,5.98604750478e-05
94469,Prevalence,Male,<70 years,Acute hepatitis C,2017,846.69927485,3.28207593373e-05
94470,Prevalence,Female,<70 years,Acute hepatitis C,2017,744.227686084,2.76680692616e-05
94471,Prevalence,Both,<70 years,Acute hepatitis C,2017,1590.92696093,3.01905342027e-05
94475,Prevalence,Male,Under 5,Neoplasms,2017,9753.66846279,0.0090700423
94476,Prevalence,Female,Under 5,Neoplasms,2017,9559.75492765,0.0083468489
94477,Prevalence,Both,Under 5,Neoplasms,2017,19313.4233904,0.0086987488
94481,Prevalence,Male,Early Neonatal,Neoplasms,2017,245.595046872,0.1056659472
94482,Prevalence,Female,Early Neonatal,Neoplasms,2017,342.157934927,0.1263140141
94483,Prevalence,Both,Early Neonatal,Neoplasms,2017,587.7529818,0.1197941191
94487,Prevalence,Male,Late Neonatal,Neoplasms,2017,130.885959086,0.0185648489
94488,Prevalence,Female,Late Neonatal,Neoplasms,2017,159.682343063,0.0203348777
94489,Prevalence,Both,Late Neonatal,Neoplasms,2017,290.568302149,0.019583284
94493,Prevalence,Male,Post Neonatal,Neoplasms,2017,1097.41003242,0.0084974997
94494,Prevalence,Female,Post Neonatal,Neoplasms,2017,1233.13640778,0.0087109248
94495,Prevalence,Both,Post Neonatal,Neoplasms,2017,2330.5464402,0.0086101235
94499,Prevalence,Male,1 to 4,Neoplasms,2017,8279.77742441,0.0088422929
94500,Prevalence,Female,1 to 4,Neoplasms,2017,7824.77824188,0.0078798939
94501,Prevalence,Both,1 to 4,Neoplasms,2017,16104.5556663,0.0083477773
94505,Prevalence,Male,5 to 9,Neoplasms,2017,7073.08627207,0.0043395675
94506,Prevalence,Female,5 to 9,Neoplasms,2017,6157.10118663,0.0037806998
94507,Prevalence,Both,5 to 9,Neoplasms,2017,13230.1874587,0.004060448
94511,Prevalence,Male,10 to 14,Neoplasms,2017,2745.22726472,0.0015894536
94512,Prevalence,Female,10 to 14,Neoplasms,2017,2637.5686707,0.001525903
94513,Prevalence,Both,10 to 14,Neoplasms,2017,5382.79593541,0.0015576894
94517,Prevalence,Male,15 to 19,Neoplasms,2017,3849.70305481,0.0020700274
94518,Prevalence,Female,15 to 19,Neoplasms,2017,4127.09652838,0.0022181488
94519,Prevalence,Both,15 to 19,Neoplasms,2017,7976.79958319,0.0021440639
94523,Prevalence,Male,20 to 24,Neoplasms,2017,6829.34938345,0.0038653566
94524,Prevalence,Female,20 to 24,Neoplasms,2017,7204.68629326,0.0039875852
94525,Prevalence,Both,20 to 24,Neoplasms,2017,14034.0356767,0.003927032
94529,Prevalence,Male,25 to 29,Neoplasms,2017,12273.4769182,0.0067447745
94530,Prevalence,Female,25 to 29,Neoplasms,2017,14359.3324691,0.0075256772
94531,Prevalence,Both,25 to 29,Neoplasms,2017,26632.8093873,0.0071444299
94535,Prevalence,Male,30 to 34,Neoplasms,2017,16554.4920813,0.0087106616
94536,Prevalence,Female,30 to 34,Neoplasms,2017,23748.940186,0.011788783
94537,Prevalence,Both,30 to 34,Neoplasms,2017,40303.4322673,0.0102945673
94541,Prevalence,Male,35 to 39,Neoplasms,2017,17862.2211658,0.0091029726
94542,Prevalence,Female,35 to 39,Neoplasms,2017,32674.5778707,0.0159213287
94543,Prevalence,Both,35 to 39,Neoplasms,2017,50536.7990366,0.012588577
94547,Prevalence,Male,40 to 44,Neoplasms,2017,22861.976133,0.0110952929
94548,Prevalence,Female,40 to 44,Neoplasms,2017,45454.4500217,0.0214592176
94549,Prevalence,Both,40 to 44,Neoplasms,2017,68316.4261547,0.0163489258
94553,Prevalence,Male,45 to 49,Neoplasms,2017,36491.016778,0.0169369456
94554,Prevalence,Female,45 to 49,Neoplasms,2017,70706.5582322,0.0318134179
94555,Prevalence,Both,45 to 49,Neoplasms,2017,107197.57501,0.0244909809
94559,Prevalence,Male,50 to 54,Neoplasms,2017,59963.9747807,0.0281961307
94560,Prevalence,Female,50 to 54,Neoplasms,2017,84415.6430848,0.0381217837
94561,Prevalence,Both,50 to 54,Neoplasms,2017,144379.617865,0.0332593415
94565,Prevalence,Male,55 to 59,Neoplasms,2017,95177.3514867,0.0473129774
94566,Prevalence,Female,55 to 59,Neoplasms,2017,102397.745509,0.0480805966
94567,Prevalence,Both,55 to 59,Neoplasms,2017,197575.096995,0.0477077918
94571,Prevalence,Male,60 to 64,Neoplasms,2017,134293.881444,0.0709936605
94572,Prevalence,Female,60 to 64,Neoplasms,2017,123207.99363,0.0597887967
94573,Prevalence,Both,60 to 64,Neoplasms,2017,257501.875073,0.0651516487
94577,Prevalence,Male,65 to 69,Neoplasms,2017,165684.010139,0.0917347226
94578,Prevalence,Female,65 to 69,Neoplasms,2017,134870.026097,0.067197886
94579,Prevalence,Both,65 to 69,Neoplasms,2017,300554.036236,0.0788198354
94583,Prevalence,Male,70 to 74,Neoplasms,2017,138706.653604,0.1079204603
94584,Prevalence,Female,70 to 74,Neoplasms,2017,101488.183064,0.0685788256
94585,Prevalence,Both,70 to 74,Neoplasms,2017,240194.836669,0.086865332
94589,Prevalence,Male,75 to 79,Neoplasms,2017,107591.779101,0.1137649625
94590,Prevalence,Female,75 to 79,Neoplasms,2017,77594.7396587,0.0647115979
94591,Prevalence,Both,75 to 79,Neoplasms,2017,185186.51876,0.0863411378
94595,Prevalence,Male,80 plus,Neoplasms,2017,153129.286553,0.1092985079
94596,Prevalence,Female,80 plus,Neoplasms,2017,178491.91119,0.07029432
94597,Prevalence,Both,80 plus,Neoplasms,2017,331621.197743,0.0841629653
94601,Prevalence,Male,All Ages,Neoplasms,2017,990841.154623,0.0336678428
94602,Prevalence,Female,All Ages,Neoplasms,2017,1019096.30862,0.0317311734
94603,Prevalence,Both,All Ages,Neoplasms,2017,2009937.46324,0.0326572094
94607,Prevalence,Male,5-14 years,Neoplasms,2017,9818.31353679,0.002923628
94608,Prevalence,Female,5-14 years,Neoplasms,2017,8794.66985733,0.0026193504
94609,Prevalence,Both,5-14 years,Neoplasms,2017,18612.9833941,0.0027715381
94613,Prevalence,Male,15-49 years,Neoplasms,2017,116722.235515,0.0086302893
94614,Prevalence,Female,15-49 years,Neoplasms,2017,198275.641601,0.0141797612
94615,Prevalence,Both,15-49 years,Neoplasms,2017,314997.877116,0.0114513077
94619,Prevalence,Male,50-69 years,Neoplasms,2017,455119.21785,0.0580798897
94620,Prevalence,Female,50-69 years,Neoplasms,2017,444891.40832,0.0528886559
94621,Prevalence,Both,50-69 years,Neoplasms,2017,900010.62617,0.0553923254
94625,Prevalence,Male,70+ years,Neoplasms,2017,399427.719259,0.1099739182
94626,Prevalence,Female,70+ years,Neoplasms,2017,357574.833913,0.0685249728
94627,Prevalence,Both,70+ years,Neoplasms,2017,757002.553171,0.085535175
94631,Prevalence,Male,Age-standardized,Neoplasms,2017,NA,0.0219069925
94632,Prevalence,Female,Age-standardized,Neoplasms,2017,NA,0.0203992117
94633,Prevalence,Both,Age-standardized,Neoplasms,2017,NA,0.0209177409
94634,Prevalence,Male,<1 year,Neoplasms,2017,1473.89103838,0.0106410883
94635,Prevalence,Female,<1 year,Neoplasms,2017,1734.97668577,0.0114074619
94636,Prevalence,Both,<1 year,Neoplasms,2017,3208.86772415,0.0110498474
94640,Prevalence,Male,80 to 84,Neoplasms,2017,68026.4792031,0.0911417699
94641,Prevalence,Female,80 to 84,Neoplasms,2017,64141.0306878,0.0573534205
94642,Prevalence,Both,80 to 84,Neoplasms,2017,132167.509891,0.0708776345
94646,Prevalence,Male,85 to 89,Neoplasms,2017,55930.6017872,0.1241727714
94647,Prevalence,Female,85 to 89,Neoplasms,2017,64361.0505853,0.0754704122
94648,Prevalence,Both,85 to 89,Neoplasms,2017,120291.652372,0.0923030946
94652,Prevalence,Male,90 to 94,Neoplasms,2017,26233.2882495,0.150755276
94653,Prevalence,Female,90 to 94,Neoplasms,2017,42474.5330313,0.0942238235
94654,Prevalence,Both,90 to 94,Neoplasms,2017,68707.8212808,0.1099684576
94658,Prevalence,Male,<20 years,Neoplasms,2017,23421.6850544,0.0037203993
94659,Prevalence,Female,<20 years,Neoplasms,2017,22481.5213134,0.0035324357
94660,Prevalence,Both,<20 years,Neoplasms,2017,45903.2063678,0.0036259834
94664,Prevalence,Male,10 to 24,Neoplasms,2017,13424.279703,0.0025070249
94665,Prevalence,Female,10 to 24,Neoplasms,2017,13969.3514923,0.0025887636
94666,Prevalence,Both,10 to 24,Neoplasms,2017,27393.6311953,0.002548035
94670,Prevalence,Male,95 plus,Neoplasms,2017,2938.91731348,0.0973144307
94671,Prevalence,Female,95 plus,Neoplasms,2017,7515.2968852,0.0640804993
94672,Prevalence,Both,95 plus,Neoplasms,2017,10454.2141987,0.0708860174
94676,Prevalence,Male,<70 years,Neoplasms,2017,591413.435364,0.022924991
94677,Prevalence,Female,<70 years,Neoplasms,2017,661521.474706,0.0245933689
94678,Prevalence,Both,<70 years,Neoplasms,2017,1252934.91007,0.0237765754
97526,Prevalence,Male,Under 5,Cardiovascular diseases,2017,1160.95759039,0.0010799312
97527,Prevalence,Female,Under 5,Cardiovascular diseases,2017,515.243900022,0.0004498463
97528,Prevalence,Both,Under 5,Cardiovascular diseases,2017,1676.20149041,0.0007549402
97532,Prevalence,Male,Early Neonatal,Cardiovascular diseases,2017,0,0
97533,Prevalence,Female,Early Neonatal,Cardiovascular diseases,2017,0,0
97534,Prevalence,Both,Early Neonatal,Cardiovascular diseases,2017,0,0
97538,Prevalence,Male,Late Neonatal,Cardiovascular diseases,2017,0,0
97539,Prevalence,Female,Late Neonatal,Cardiovascular diseases,2017,0,0
97540,Prevalence,Both,Late Neonatal,Cardiovascular diseases,2017,0,0
97544,Prevalence,Male,Post Neonatal,Cardiovascular diseases,2017,0,0
97545,Prevalence,Female,Post Neonatal,Cardiovascular diseases,2017,0,0
97546,Prevalence,Both,Post Neonatal,Cardiovascular diseases,2017,0,0
97550,Prevalence,Male,1 to 4,Cardiovascular diseases,2017,1160.95759039,0.0012398649
97551,Prevalence,Female,1 to 4,Cardiovascular diseases,2017,515.243900022,0.0005187045
97552,Prevalence,Both,1 to 4,Cardiovascular diseases,2017,1676.20149041,0.0008687404
97556,Prevalence,Male,5 to 9,Cardiovascular diseases,2017,3114.5710151,0.001909203
97557,Prevalence,Female,5 to 9,Cardiovascular diseases,2017,656.198542187,0.0004028692
97558,Prevalence,Both,5 to 9,Cardiovascular diseases,2017,3770.76955729,0.0011566041
97562,Prevalence,Male,10 to 14,Cardiovascular diseases,2017,2938.42383313,0.0017007563
97563,Prevalence,Female,10 to 14,Cardiovascular diseases,2017,2925.53722403,0.0016925577
97564,Prevalence,Both,10 to 14,Cardiovascular diseases,2017,5863.96105715,0.0016964073
97568,Prevalence,Male,15 to 19,Cardiovascular diseases,2017,6646.30913322,0.0035734211
97569,Prevalence,Female,15 to 19,Cardiovascular diseases,2017,12921.2613493,0.0069444091
97570,Prevalence,Both,15 to 19,Cardiovascular diseases,2017,19567.5704825,0.0052593818
97574,Prevalence,Male,20 to 24,Cardiovascular diseases,2017,8566.24270404,0.0048485639
97575,Prevalence,Female,20 to 24,Cardiovascular diseases,2017,13906.2598573,0.0076969579
97576,Prevalence,Both,20 to 24,Cardiovascular diseases,2017,22472.5025613,0.0062886052
97580,Prevalence,Male,25 to 29,Cardiovascular diseases,2017,16199.4815595,0.0089026564
97581,Prevalence,Female,25 to 29,Cardiovascular diseases,2017,28365.0088571,0.0148657936
97582,Prevalence,Both,25 to 29,Cardiovascular diseases,2017,44564.4904166,0.0119549639
97586,Prevalence,Male,30 to 34,Cardiovascular diseases,2017,22732.0771877,0.0119610149
97587,Prevalence,Female,30 to 34,Cardiovascular diseases,2017,37824.6392907,0.0187754947
97588,Prevalence,Both,30 to 34,Cardiovascular diseases,2017,60556.7164784,0.0154673579
97592,Prevalence,Male,35 to 39,Cardiovascular diseases,2017,38179.2762046,0.0194556982
97593,Prevalence,Female,35 to 39,Cardiovascular diseases,2017,44890.5908346,0.0218732993
97594,Prevalence,Both,35 to 39,Cardiovascular diseases,2017,83069.8670392,0.020691575
97598,Prevalence,Male,40 to 44,Cardiovascular diseases,2017,95589.0659547,0.0463926159
97599,Prevalence,Female,40 to 44,Cardiovascular diseases,2017,103217.485291,0.0487296217
97600,Prevalence,Both,40 to 44,Cardiovascular diseases,2017,198806.551246,0.0475772607
97604,Prevalence,Male,45 to 49,Cardiovascular diseases,2017,152472.086469,0.0707706605
97605,Prevalence,Female,45 to 49,Cardiovascular diseases,2017,140376.730105,0.0631603281
97606,Prevalence,Both,45 to 49,Cardiovascular diseases,2017,292848.816574,0.0669063173
97610,Prevalence,Male,50 to 54,Cardiovascular diseases,2017,239058.041887,0.1124084029
97611,Prevalence,Female,50 to 54,Cardiovascular diseases,2017,176466.258692,0.079691634
97612,Prevalence,Both,50 to 54,Cardiovascular diseases,2017,415524.300579,0.0957197602
97616,Prevalence,Male,55 to 59,Cardiovascular diseases,2017,371588.375514,0.1847173189
97617,Prevalence,Female,55 to 59,Cardiovascular diseases,2017,236962.577423,0.1112649768
97618,Prevalence,Both,55 to 59,Cardiovascular diseases,2017,608550.952936,0.1469442629
97622,Prevalence,Male,60 to 64,Cardiovascular diseases,2017,540812.570462,0.2858969906
97623,Prevalence,Female,60 to 64,Cardiovascular diseases,2017,338932.702276,0.1644728522
97624,Prevalence,Both,60 to 64,Cardiovascular diseases,2017,879745.272738,0.2225877579
97628,Prevalence,Male,65 to 69,Cardiovascular diseases,2017,694637.947025,0.3846002163
97629,Prevalence,Female,65 to 69,Cardiovascular diseases,2017,481565.833513,0.2399360328
97630,Prevalence,Both,65 to 69,Cardiovascular diseases,2017,1176203.78054,0.3084568332
97634,Prevalence,Male,70 to 74,Cardiovascular diseases,2017,628418.358477,0.488940251
97635,Prevalence,Female,70 to 74,Cardiovascular diseases,2017,478040.950093,0.3230272383
97636,Prevalence,Both,70 to 74,Cardiovascular diseases,2017,1106459.30857,0.4001453387
97640,Prevalence,Male,75 to 79,Cardiovascular diseases,2017,535049.640997,0.5657485582
97641,Prevalence,Female,75 to 79,Cardiovascular diseases,2017,486419.873804,0.4056579234
97642,Prevalence,Both,75 to 79,Cardiovascular diseases,2017,1021469.5148,0.4762481434
97646,Prevalence,Male,80 plus,Cardiovascular diseases,2017,853280.977276,0.6090430448
97647,Prevalence,Female,80 plus,Cardiovascular diseases,2017,1172821.81246,0.4618847587
97648,Prevalence,Both,80 plus,Cardiovascular diseases,2017,2026102.78974,0.514209567
97652,Prevalence,Male,All Ages,Cardiovascular diseases,2017,4210444.40329,0.1430668209
97653,Prevalence,Female,All Ages,Cardiovascular diseases,2017,3756808.96351,0.1169736416
97654,Prevalence,Both,All Ages,Cardiovascular diseases,2017,7967253.3668,0.1294505007
97658,Prevalence,Male,5-14 years,Cardiovascular diseases,2017,6052.99484823,0.0018016959
97659,Prevalence,Female,5-14 years,Cardiovascular diseases,2017,3581.73576621,0.0010668711
97660,Prevalence,Both,5-14 years,Cardiovascular diseases,2017,9634.73061444,0.0014343069
97664,Prevalence,Male,15-49 years,Cardiovascular diseases,2017,340384.539213,0.0251682003
97665,Prevalence,Female,15-49 years,Cardiovascular diseases,2017,381501.975585,0.0272831413
97666,Prevalence,Both,15-49 years,Cardiovascular diseases,2017,721886.514798,0.0262432555
97670,Prevalence,Male,50-69 years,Cardiovascular diseases,2017,1846096.93489,0.2355888223
97671,Prevalence,Female,50-69 years,Cardiovascular diseases,2017,1233927.3719,0.1466891115
97672,Prevalence,Both,50-69 years,Cardiovascular diseases,2017,3080024.30679,0.1895638949
97676,Prevalence,Male,70+ years,Cardiovascular diseases,2017,2016748.97675,0.5552691839
97677,Prevalence,Female,70+ years,Cardiovascular diseases,2017,2137282.63636,0.409584443
97678,Prevalence,Both,70+ years,Cardiovascular diseases,2017,4154031.61311,0.4693718606
97682,Prevalence,Male,Age-standardized,Cardiovascular diseases,2017,NA,0.0858448007
97683,Prevalence,Female,Age-standardized,Cardiovascular diseases,2017,NA,0.0604676979
97684,Prevalence,Both,Age-standardized,Cardiovascular diseases,2017,NA,0.0719480469
97685,Prevalence,Male,<1 year,Cardiovascular diseases,2017,0,0
97686,Prevalence,Female,<1 year,Cardiovascular diseases,2017,0,0
97687,Prevalence,Both,<1 year,Cardiovascular diseases,2017,0,0
97691,Prevalence,Male,80 to 84,Cardiovascular diseases,2017,454385.278398,0.6087848732
97692,Prevalence,Female,80 to 84,Cardiovascular diseases,2017,504698.212412,0.4512889712
97693,Prevalence,Both,80 to 84,Cardiovascular diseases,2017,959083.49081,0.5143286837
97697,Prevalence,Male,85 to 89,Cardiovascular diseases,2017,277015.162351,0.6150071416
97698,Prevalence,Female,85 to 89,Cardiovascular diseases,2017,402944.394033,0.4724964727
97699,Prevalence,Both,85 to 89,Cardiovascular diseases,2017,679959.556384,0.5217516234
97703,Prevalence,Male,90 to 94,Cardiovascular diseases,2017,104755.022042,0.6019971881
97704,Prevalence,Female,90 to 94,Cardiovascular diseases,2017,212349.308821,0.4710673208
97705,Prevalence,Both,90 to 94,Cardiovascular diseases,2017,317104.330863,0.5075327397
97709,Prevalence,Male,<20 years,Cardiovascular diseases,2017,13860.2615718,0.0022012572
97710,Prevalence,Female,<20 years,Cardiovascular diseases,2017,17018.2410155,0.0026742476
97711,Prevalence,Both,<20 years,Cardiovascular diseases,2017,30878.5025874,0.002438969
97715,Prevalence,Male,10 to 24,Cardiovascular diseases,2017,18150.9756704,0.0033895158
97716,Prevalence,Female,10 to 24,Cardiovascular diseases,2017,29753.0584306,0.0055137196
97717,Prevalence,Both,10 to 24,Cardiovascular diseases,2017,47904.034101,0.004455644
97721,Prevalence,Male,95 plus,Cardiovascular diseases,2017,17125.5144855,0.5670657253
97722,Prevalence,Female,95 plus,Cardiovascular diseases,2017,52829.8971975,0.4504632894
97723,Prevalence,Both,95 plus,Cardiovascular diseases,2017,69955.411683,0.4743407007
97727,Prevalence,Male,<70 years,Cardiovascular diseases,2017,2193695.42654,0.0850341438
97728,Prevalence,Female,<70 years,Cardiovascular diseases,2017,1619526.32715,0.0602086877
97729,Prevalence,Both,<70 years,Cardiovascular diseases,2017,3813221.75369,0.0723620107
97733,Prevalence,Male,Under 5,Ischemic heart disease,2017,0,0
97734,Prevalence,Female,Under 5,Ischemic heart disease,2017,0,0
97735,Prevalence,Both,Under 5,Ischemic heart disease,2017,0,0
97739,Prevalence,Male,Early Neonatal,Ischemic heart disease,2017,0,0
97740,Prevalence,Female,Early Neonatal,Ischemic heart disease,2017,0,0
